ticker;name;category;currency
PFE.ST;Pfizer Inc.;stock;SEK
AZN.ST;AstraZeneca PLC;stock;SEK
ATCO-A.ST;Atlas Copco AB;stock;SEK
ABB.ST;ABB Ltd;stock;SEK
INVE-A.ST;Investor AB (publ);stock;SEK
INVE-B.ST;Investor AB (publ);stock;SEK
ATCO-B.ST;Atlas Copco AB;stock;SEK
VOLV-A.ST;AB Volvo (publ);stock;SEK
VOLV-B.ST;AB Volvo (publ);stock;SEK
EQT.ST;EQT AB (publ);stock;SEK
NDA-SE.ST;Nordea Bank Abp;stock;SEK
HEXA-B.ST;Hexagon AB (publ);stock;SEK
ERIC-A.ST;Telefonaktiebolaget LM Ericsson (publ);stock;SEK
ERIC-B.ST;Telefonaktiebolaget LM Ericsson (publ);stock;SEK
EVO.ST;Evolution AB (publ);stock;SEK
ASSA-B.ST;ASSA ABLOY AB (publ);stock;SEK
NOKIA-SEK.ST;Nokia Corporation;stock;SEK
HM-B.ST;H & M Hennes & Mauritz AB (publ);stock;SEK
SAND.ST;Sandvik AB (publ);stock;SEK
SEB-A.ST;Skandinaviska Enskilda Banken AB (publ);stock;SEK
SEB-C.ST;Skandinaviska Enskilda Banken AB (publ);stock;SEK
NIBE-B.ST;NIBE Industrier AB (publ);stock;SEK
EPI-A.ST;Epiroc AB (publ);stock;SEK
EPI-B.ST;Epiroc AB (publ);stock;SEK
SHB-B.ST;Svenska Handelsbanken AB (publ);stock;SEK
ESSITY-B.ST;Essity AB (publ);stock;SEK
ESSITY-A.ST;Essity AB (publ);stock;SEK
LATO-B.ST;Investment AB Latour (publ);stock;SEK
SHB-A.ST;Svenska Handelsbanken AB (publ);stock;SEK
SWED-A.ST;Swedbank AB (publ);stock;SEK
TELIA.ST;Telia Company AB (publ);stock;SEK
ALFA.ST;Alfa Laval AB (publ);stock;SEK
STE-A.ST;Stora Enso Oyj;stock;SEK
SINCH.ST;Sinch AB (publ);stock;SEK
LUND-B.ST;L E Lundbergföretagen AB (publ);stock;SEK
INDU-A.ST;AB Industrivärden (publ);stock;SEK
INDU-C.ST;AB Industrivärden (publ);stock;SEK
STE-R.ST;Stora Enso Oyj;stock;SEK
8TRA.ST;Traton SE;stock;SEK
SWMA.ST;Swedish Match AB (publ);stock;SEK
BALD-B.ST;Fastighets AB Balder (publ);stock;SEK
LIFCO-B.ST;Lifco AB (publ);stock;SEK
SCA-A.ST;Svenska Cellulosa Aktiebolaget SCA (publ);stock;SEK
SCA-B.ST;Svenska Cellulosa Aktiebolaget SCA (publ);stock;SEK
SAGA-B.ST;AB Sagax (publ);stock;SEK
SAGA-D.ST;AB Sagax (publ);stock;SEK
SAGA-A.ST;AB Sagax (publ);stock;SEK
SKA-B.ST;Skanska AB (publ);stock;SEK
INDT.ST;Indutrade AB (publ);stock;SEK
SKF-A.ST;AB SKF (publ);stock;SEK
SKF-B.ST;AB SKF (publ);stock;SEK
EMBRAC-B.ST;Embracer Group AB (publ);stock;SEK
KINV-A.ST;Kinnevik AB;stock;SEK
